season,target,n_points,rmse,f1_proxy,tp,fp,fn
Winter,Load,2087,2035.4575087620108,0.4870689655172413,113,217,21
Winter,Macro Avg,8348,549.4864554181091,0.5070519273352059,939,1520,84
Winter,Price,2087,162.16764162630992,0.751152073732719,489,294,30
Winter,Solar,2087,0.12123495309721725,0.26804123711340205,117,627,12
Winter,Wind,2087,0.19943633101856945,0.5219454329774614,220,382,21
Spring,Load,2208,1977.8019939638273,0.4050632911392405,80,223,12
Spring,Macro Avg,8832,533.6616700880055,0.4221082887949218,1115,2367,137
Spring,Price,2208,156.47123962566323,0.5691456668715428,463,652,49
Spring,Solar,2208,0.12398520184964562,0.06844106463878327,36,935,45
Spring,Wind,2208,0.24946156068179187,0.6457831325301205,536,557,31
Summer,Load,2208,1712.8382905275494,0.3011583011583012,39,168,13
Summer,Macro Avg,8832,498.6069931013187,0.48678085120012626,2092,2476,127
Summer,Price,2208,281.14259309419236,0.7847760188615696,1165,624,15
Summer,Solar,2208,0.13649104110255394,0.1833721833721834,118,994,57
Summer,Wind,2208,0.31059774243063976,0.6778169014084507,770,690,42
Autumn,Load,2184,1709.93702624624,0.3288888888888889,37,137,14
Autumn,Macro Avg,8736,480.40757891609337,0.49777647755530174,1478,1631,99
Autumn,Price,2184,211.32436556413703,0.7673389080177078,780,436,37
Autumn,Solar,2184,0.11314312904666926,0.1957104557640751,73,582,18
Autumn,Wind,2184,0.25578072494979914,0.6991676575505351,588,476,30
